,Country Code,"GNI per capita, Atlas method (current US$)","Labor force, female (% of total labor force)","Life expectancy at birth, total (years)",Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty line (% of population),"Public spending on education, total (% of GDP)",Rural population (% of total population),"School enrollment, primary (% net)",Urban population (% of total population),City Average PM2.5,Total Average PM2.5
174,TZA,1030,48.282392554881454,65.015,2.97948065987158,56313444,..,3.69643998146057,66.22399999999999,81.32921,33.776,23.52543,27.34999
175,UGA,750,49.37279719995632,62.973,3.72516390592513,42729032,..,2.13052010536194,76.226,..,23.774,24.02965,28.71427
176,UKR,2750,48.09560588140114,71.58268292682928,-0.466425620896808,44622518,..,5.3199200630188,30.647999999999996,..,69.352,11.76808,12.63303
177,URY,17280,46.117503090858634,77.77,0.367270798048567,3449290,..,4.66279983520508,4.665999999999997,..,95.334,9.20146,9.51311
178,USA,63490,46.19075536256916,78.63902439024392,0.526435395564053,326838199,..,4.91233015060425,17.744,..,82.256,29.84161,33.77237
179,UZB,2110,39.9879399249022,71.573,1.73698637655233,32956100,..,5.90000009536743,49.522,94.59704,50.478,27.72775,30.91356
180,VCT,7990,41.22722914669224,72.415,0.349034148811457,110210,..,5.69377994537354,47.802,..,52.198,16.08866,16.60169
181,VEN,..,37.93617731233396,72.128,-1.76833073456765,28887117,..,..,11.792000000000002,..,88.208,19.95221,21.6529
182,VNM,3030,47.422655968111755,75.317,0.994310472332801,95545959,6.7,4.16744995117188,64.081,..,35.919,13.57883,14.478
183,VUT,3170,43.547789080005806,70.323,2.48242519027756,292675,..,..,74.726,..,25.274,11.00954,11.30322
184,YEM,910,8.259236507901132,66.096,2.3570444080705,28498683,..,..,63.358,..,36.642,38.75764,41.02875
185,ZAF,6340,44.904110620302966,63.857,1.36370321600461,57792520,..,5.64401006698608,33.644999999999996,..,66.355,18.88039,22.51121
186,ZMB,1440,48.225371755145396,63.51,2.91265326328102,17351714,..,4.73974990844727,56.479,..,43.521,16.81093,19.23287
187,ZWE,1350,51.51278850155254,61.195,1.41038154233327,14438812,..,3.86611008644104,67.791,..,32.209,15.01045,17.07324
