,Country:,2010 Total:,2011 Total:,2012 Total:,2013 Total:,2014 Total:,2015 Total:,2016 Total:,2017 Total:,2018 Total:,2019 Total:
106,MAR,13.1705,13.27892,13.23921,12.87496,13.25827,13.48392,13.55217,13.91456,13.58116,13.44048
107,MCO,11.90929,12.36992,11.15613,10.76834,9.97134,10.41417,9.52814,9.62937,9.87806,9.21092
108,MDA,16.83486,15.67313,14.84957,15.10139,15.64055,13.60586,12.51156,11.98123,13.29578,12.36523
109,MDG,16.50359,16.52913,16.17388,16.54685,16.23716,16.41895,16.52351,15.8643,16.14007,16.02251
110,MDV,13.38913,12.37565,13.26983,13.66561,12.0814,12.22996,13.66199,12.51763,12.46575,13.00334
111,MEX,22.13361,23.52526,22.2395,23.18825,21.56012,21.79878,21.20562,20.43847,18.75159,17.82781
112,MHL,7.2692,7.07336,7.1185,7.2102,6.97074,7.10208,7.2666,7.14984,7.14241,7.21485
113,MKD,34.53379,36.51749,33.87751,30.87741,30.38281,29.51055,28.22692,29.25548,30.05632,25.16804
114,MLI,39.03671,38.28989,39.78941,36.20615,38.38143,40.77241,40.08283,40.3369,39.82185,38.54882
115,MLT,17.17263,16.46377,14.39201,14.31433,13.8986,13.853,13.26847,12.60381,13.79236,12.93003
116,MMR,29.45053,26.63846,28.51278,29.31366,26.07728,26.52866,29.2509,25.92626,26.0426,27.16498
117,MNE,26.08957,27.20885,26.83415,23.39572,23.25985,22.49954,21.48403,22.66356,23.34584,19.29617
118,MNG,45.20481,51.57723,52.19057,48.76769,47.14049,47.78887,47.50225,45.49607,44.03985,41.30377
119,MOZ,16.64926,16.31307,16.46958,16.65098,16.6766,16.68126,16.42798,16.25737,16.6806,16.44818
120,MRT,38.90393,41.32036,42.27807,40.30183,40.80888,43.67907,42.42518,43.42366,42.58011,41.98461
121,MUS,10.59822,10.54148,10.59407,10.63984,10.65525,10.75079,10.73204,10.35147,10.44866,10.48182
122,MWI,18.7213,18.84669,18.96952,18.72721,18.71457,18.80413,18.58392,18.47615,18.60764,18.56954
123,MYS,22.67492,21.03622,22.27061,23.17544,20.80653,21.43982,22.88744,20.3758,20.49619,21.52164
124,NAM,11.93522,12.0992,12.16913,11.85483,11.9326,11.87753,11.90338,11.97733,11.88239,11.81074
125,NER,49.54739,49.57459,49.83186,47.72282,48.79553,52.86639,52.51137,52.41127,50.74433,50.15037
126,NGA,52.84583,53.70578,54.53055,52.88635,53.95678,57.2825,57.1711,57.45214,56.52002,55.64206
127,NIC,19.92137,20.95415,20.1217,21.2362,20.25059,20.60811,19.55939,18.43793,17.24307,16.00181
128,NIU,6.44213,6.34358,6.43149,6.40683,6.51817,6.52981,6.75023,6.64027,6.7349,6.74203
129,NLD,15.01226,15.53418,13.74709,13.19624,12.48643,12.58504,11.59958,11.62645,11.48585,10.7416
130,NOR,7.86369,8.32307,7.32541,7.13364,6.61816,6.8203,6.32693,6.36199,6.33232,6.30111
131,NPL,39.77933,39.48479,40.43541,41.79461,40.29809,39.81822,38.42945,36.76309,40.05945,36.43171
132,NRU,7.4968,7.57982,7.4037,7.37316,7.1829,7.27544,7.33435,7.44854,7.59188,7.40486
133,NZL,9.34902,8.54013,7.67365,7.50781,7.19456,6.93597,6.90511,7.14232,7.44725,8.60929
134,OMN,35.53593,35.90277,36.9132,36.20723,34.69059,35.84203,35.53841,35.99423,36.67529,34.88286
135,PAK,56.40357,55.33722,56.29123,59.05498,56.2618,55.89503,53.65099,51.97565,56.50438,50.13067
136,PAN,14.12765,14.78085,14.52209,15.21319,14.51812,14.86951,14.03824,13.38493,12.37203,11.77915
137,PER,29.59087,28.47326,29.99227,30.46651,31.47109,30.28824,29.48786,27.75851,28.81163,29.06587
138,PHL,23.81843,22.13145,23.35276,24.20666,21.54303,22.05308,23.90306,21.62402,21.51733,22.45141
139,PLW,7.22831,7.60687,7.77952,7.77074,7.75975,8.01579,7.58828,7.49994,7.77358,7.82424
140,PNG,8.65084,8.27803,8.38956,8.38809,8.38693,8.96576,8.68582,8.8705,8.92571,8.88558
141,POL,26.32189,27.01823,24.46697,23.36101,23.45474,22.58791,21.34448,21.9609,22.51081,18.82808
142,PRK,50.40548,55.17787,56.46034,68.48237,60.0937,56.44233,51.03666,50.32324,43.532,41.46032
143,PRT,10.54772,10.67923,9.43022,9.44265,7.8954,8.67534,8.41931,9.03849,7.89586,7.34244
144,PRY,16.36973,15.8887,15.26003,14.33518,14.08261,13.00169,13.26532,16.35836,12.1112,12.30993
145,PSE,29.4186,28.7703,29.45407,29.84821,30.03145,30.4868,30.29228,29.81358,30.51881,30.8191
146,QAT,64.27163,63.84025,63.83774,61.36537,58.29297,65.9073,61.29524,63.11193,62.6647,59.03746
147,ROU,18.05504,18.67849,16.96099,15.95671,15.96018,15.41342,14.84775,15.3241,15.59612,13.30043
148,RUS,11.8813,10.52571,10.22086,10.46019,10.79947,9.48913,8.71282,8.38309,9.22426,8.88468
149,RWA,34.39619,34.80846,35.33117,34.87908,34.9263,34.68945,34.97191,34.7134,34.91829,35.65776
